author_id,openalex_id,name,orcid,institution,institution_id,faculty,department,total_works,total_citations,h_index,i10_index,two_year_mean_citedness,research_areas
"https://openalex.org/A5100039147","A5100039147","Katie Nur","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Statistics; Palestine; Rhetoric; Philosophy; Political economy"
"https://openalex.org/A5100039148","A5100039148","Evi Novrisari Nainggolan","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Statistics; Palestine; Rhetoric; Philosophy; Political economy"
"https://openalex.org/A5100039149","A5100039149","Risa Hazkiasyah Putri","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Statistics; Palestine; Rhetoric; Philosophy; Political economy"
"https://openalex.org/A5100039150","A5100039150","Nabila Nurul Zahra","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Statistics; Palestine; Rhetoric; Philosophy; Political economy"
"https://openalex.org/A5100087545","A5100087545","Kankan Kasmana","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Public health; Psychology; Nursing; Health department; Emergency department"
"https://openalex.org/A5100087551","A5100087551","Selvia","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Desain","","1","1","1","0","1","Art"
"https://openalex.org/A5100087552","A5100087552","Nungki Heriyati","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Desain","","1","1","1","0","1","Art"
"https://openalex.org/A5101183890","A5101183890","Nurul Anisa Fitriani","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Operating system; Advertising; Product design; Literature; Engineering"
"https://openalex.org/A5101221075","A5101221075","Adipura Nugraha","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Desain","","1","0","0","0","0","Art; Humanities"
"https://openalex.org/A5101221187","A5101221187","David Adi Chandra","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Statistics; Agriculture; Engineering; Data collection; Crop"
"https://openalex.org/A5101221372","A5101221372","Muhammad Yogi Hidayat","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Desain","","1","0","0","0","0","Art; Humanities; Computer science"
"https://openalex.org/A5101222858","A5101222858","Alvin Gusti Prabowo","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","1","Operating system; Outbreak; Internal medicine; Pathology; Installation"
"https://openalex.org/A5101392850","A5101392850","Mohammad Ali","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Desain","","1","1","1","0","1","Art; Ancient history; Meiji period; History"
"https://openalex.org/A5102429985","A5102429985","Rodi Hartono","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","2","1","0","0","Physics; Mathematics"
"https://openalex.org/A5102437282","A5102437282","Mahdi M L","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","The Internet; Operating system; Communications protocol; MQTT; World Wide Web"
"https://openalex.org/A5102489889","A5102489889","Amirah Rahmawati","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","0","Human–computer interaction; Milestone; Sociology; Artificial intelligence; Interpersonal communication"
"https://openalex.org/A5102521709","A5102521709","Aliza Meidana Putri","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Finance; Physics; Philosophy; Business; Humanities"
"https://openalex.org/A5102526711","A5102526711","Muhammad Khairul Iqbal","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Desain","","1","0","0","0","0","Art; Humanities"
"https://openalex.org/A5102531615","A5102531615","Raudhatusholihat Amalia","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","2","1","0","2","Finance; Software deployment; Epistemology; Software engineering; Web application"
"https://openalex.org/A5102531616","A5102531616","Adri Nur Alamsyah","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","7","1","0","7","Advertising; Business; Marketing; Political science; Law"
"https://openalex.org/A5102533800","A5102533800","Nesta Muhammad Akbar M","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Human–computer interaction; The Internet; Operating system; Advertising; World Wide Web"
"https://openalex.org/A5102539049","A5102539049","Tasya Dian Lestari","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","1","Physics; Business; Business administration; Mathematics"
"https://openalex.org/A5102608772","A5102608772","Maman Hidayat","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Teknik dan Ilmu Komputer","","1","0","0","0","0","Engineering management; Operating system; Software engineering; Architecture; Engineering"
"https://openalex.org/A5102702515","A5102702515","Yulia Ambarsih Ekawardhani","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Aesthetics; Art; Sociology; Geography; Ethnology"
"https://openalex.org/A5103980858","A5103980858","Y I Maulana","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","0","Human–computer interaction; Engineering; Architectural engineering; Virtual reality; Geometry"
"https://openalex.org/A5104007523","A5104007523","Aditya Malik","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","4","1","0","0","Physics; Horticulture; Biology"
"https://openalex.org/A5104081701","A5104081701","Farah Akbar","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","4","1","0","0","Physics; Engineering; Geotechnical engineering; Environmental science; Hydrology (agriculture)"
"https://openalex.org/A5104087916","A5104087916","Mohammad Arziz Raka Pradana","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","2","1","0","0","Physics; Architecture; Engineering; Thermal comfort; Art"
"https://openalex.org/A5104137864","A5104137864","Muhammad Yasir Mumtaz","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","4","1","0","4","Finance; Engineering management; Operating system; Engineering; Business"
